,loan_amnt,fico,loan_age_in_months,annual_inc,logged_inc,delinq_2yrs,mths_since_last_delinq
0,17112.0,531.0,26,35392.33655172413,10.474250594096631,14.4,23
1,13998.75,549.0,15,33425.359275477706,10.417070150617768,0.0,-1
3,11912.0,592.0,9,49754.99721448468,10.81486618406463,5.333333333333333,7
5,24891.91,541.0,6,29872.28414965986,10.304686377977152,7.2,5
6,9521.88,459.0,9,30431.27601713062,10.323226174878458,0.0,-1
7,13983.0,545.0,9,24558.93274336283,10.108830926242076,0.0,-1
8,6886.51,607.0,23,22249.87871459695,10.01009183655018,0.0,-1
9,15226.09,588.0,8,67087.07533333334,11.113746686423438,0.0,-1
10,12347.34,492.0,22,43082.12502403846,10.670863457445563,0.0,-1
11,25074.0,495.0,7,174794.71153846153,12.071367487389272,4.363636363636363,3
16,12407.2,551.0,8,23470.42324966975,10.063496322328385,0.0,-1
17,14295.0,537.0,9,27926.024590163932,10.237314314049053,14.4,7
18,13561.86,531.0,9,36744.52666666667,10.511744559308815,18.0,8
19,8368.29,628.0,23,18896.566175771968,9.84673550071964,6.0,22
21,12900.0,596.0,10,55058.13253012048,10.916144861123955,0.0,-1
22,22624.4,517.0,7,40529.424525916555,10.609783520802493,0.0,-1
23,19128.5,551.0,22,33436.47621988882,10.41740268544668,0.0,-1
24,23862.28,579.0,8,55909.30227009113,10.931486054423793,0.0,-1
25,19329.94,545.0,9,33419.2659118727,10.416887836374707,0.0,-1
26,28215.74,558.0,7,51067.40868336545,10.840901777868064,0.0,-1
27,18000.71,556.0,6,40080.82020602219,10.598653199771467,0.0,-1
30,17364.5,615.0,63,46510.27320574163,10.74742849632993,0.0,-1
31,19338.0,500.0,62,35011.0362225097,10.463418611411578,0.0,-1
32,10569.63,486.0,62,34280.87412514484,10.44234287195326,6.0,58
33,17265.2,590.0,61,51519.5040511727,10.849715734395968,0.0,-1
34,7777.51,480.0,61,24027.87029801324,10.086969698003646,0.0,-1
35,7390.93,459.0,62,12387.552736526948,9.424447435866472,0.0,-1
36,9056.99,563.0,61,17411.068001373624,9.7648613750148,0.0,-1
37,11439.06,532.0,60,23051.064751619866,10.045467240486769,0.0,-1
39,17140.0,430.0,61,30694.08829174664,10.331825351245747,0.0,-1
41,10935.79,445.0,61,32632.490628997864,10.393063716095137,0.0,-1
44,11841.0,454.0,60,53113.71634615384,10.880190485476982,0.0,-1
45,14566.0,516.0,60,24010.73851590106,10.086256447422022,0.0,-1
46,27312.24,513.0,61,62764.33477832512,11.047142273587445,0.0,-1
47,13960.5,464.0,61,32481.66209476309,10.38843096583465,0.0,-1
54,27765.47,523.0,60,57609.748354336545,10.961447074626914,0.0,-1
55,17264.5,536.0,60,30740.03530534351,10.33332116560668,0.0,-1
60,19227.93,505.0,60,48311.46864452423,10.785424257511213,0.0,-1
62,12949.93,472.0,60,20340.546616161617,9.920371543192369,12.0,58
