Date,PX_LAST
7/20/2022,3.224
7/19/2022,3.2377
7/18/2022,3.1766
7/15/2022,3.1267
7/14/2022,3.1567
7/13/2022,3.1512
7/12/2022,3.0824
7/11/2022,3.1052
7/8/2022,3.1389
7/7/2022,3.0398
7/6/2022,3.0116
7/5/2022,2.8245
7/4/2022,2.8524
7/1/2022,2.8524
6/30/2022,3.0082
6/29/2022,3.1086
6/28/2022,3.2007
6/27/2022,3.206
6/24/2022,3.147
6/23/2022,3.1213
6/22/2022,3.1991
6/21/2022,3.3467
6/20/2022,3.3491
6/17/2022,3.3491
6/16/2022,3.2807
6/15/2022,3.3499
6/14/2022,3.5897
6/13/2022,3.4861
6/10/2022,3.2357
6/9/2022,3.0012
6/8/2022,2.9572
6/7/2022,2.909
6/6/2022,2.9313
6/3/2022,2.8472
6/2/2022,2.8192
6/1/2022,2.8219
5/31/2022,2.7248
5/30/2022,2.6337
5/27/2022,2.6337
5/26/2022,2.6231
5/25/2022,2.6315
5/24/2022,2.6536
5/23/2022,2.7856
5/20/2022,2.7279
5/19/2022,2.7719
5/18/2022,2.8378
5/17/2022,2.8927
5/16/2022,2.75
5/13/2022,2.7746
5/12/2022,2.75
5/11/2022,2.8266
5/10/2022,2.798
5/9/2022,2.8119
5/6/2022,2.9577
5/5/2022,2.9092
5/4/2022,2.8223
5/3/2022,2.9675
5/2/2022,2.9336
4/29/2022,2.8859
4/28/2022,2.7741
4/27/2022,2.7519
4/26/2022,2.6551
4/25/2022,2.807
4/22/2022,2.8539
4/21/2022,2.8865
4/20/2022,2.7842
4/19/2022,2.8199
4/18/2022,2.6742
4/15/2022,2.6796
4/14/2022,2.6796
4/13/2022,2.5649
4/12/2022,2.6222
4/11/2022,2.7205
4/8/2022,2.7254
4/7/2022,2.6605
4/6/2022,2.654
4/5/2022,2.704
4/4/2022,2.6017
4/1/2022,2.6319
3/31/2022,2.5118
3/30/2022,2.4832
3/29/2022,2.5496
3/28/2022,2.5656
3/25/2022,2.5036
3/24/2022,2.3713
3/23/2022,2.3072
3/22/2022,2.3812
3/21/2022,2.32
3/18/2022,2.1384
3/17/2022,2.1129
3/16/2022,2.1398
3/15/2022,2.0471
3/14/2022,2.0468
3/11/2022,1.9196
3/10/2022,1.8791
3/9/2022,1.8495
3/8/2022,1.7463
3/7/2022,1.6803
3/4/2022,1.6062
3/3/2022,1.6823
3/2/2022,1.6767
3/1/2022,1.5081
2/28/2022,1.622
2/25/2022,1.7607
2/24/2022,1.7546
2/23/2022,1.7816
2/22/2022,1.7487
2/21/2022,1.6753
2/18/2022,1.6753
2/17/2022,1.6936
2/16/2022,1.7582
2/15/2022,1.8039
2/14/2022,1.7982
2/11/2022,1.7254
2/10/2022,1.8171
2/9/2022,1.6286
2/8/2022,1.5795
2/7/2022,1.5267
2/4/2022,1.5346
2/3/2022,1.4212
2/2/2022,1.3691
2/1/2022,1.3771
1/31/2022,1.3769
1/28/2022,1.3739
1/27/2022,1.4194
1/26/2022,1.4001
1/25/2022,1.2648
1/24/2022,1.2566
1/21/2022,1.2861
1/20/2022,1.3098
1/19/2022,1.3634
1/18/2022,1.3578
1/17/2022,1.2665
1/14/2022,1.2665
1/13/2022,1.1943
1/12/2022,1.2317
1/11/2022,1.1744
1/10/2022,1.1852
1/7/2022,1.1523
1/6/2022,1.1328
1/5/2022,1.0839
1/4/2022,1.0135
1/3/2022,1.0162
12/31/2021,0.9569
12/30/2021,0.9516
12/29/2021,0.9839
12/28/2021,0.9731
12/27/2021,0.9758
12/24/2021,0.9678
12/23/2021,0.9678
12/22/2021,0.944
12/21/2021,0.944
12/20/2021,0.9095
12/17/2021,0.9176
12/16/2021,0.8993
12/15/2021,0.9735
12/14/2021,0.9735
12/13/2021,0.9497
12/10/2021,0.9868
12/9/2021,1.0159
12/8/2021,1.0027
12/7/2021,0.9636
12/6/2021,0.9038
12/3/2021,0.8497
12/2/2021,0.8952
12/1/2021,0.8171
11/30/2021,0.8385
11/29/2021,0.7794
11/26/2021,0.8008
11/25/2021,0.964
11/24/2021,0.964
11/23/2021,0.9422
11/22/2021,0.9393
11/19/2021,0.8591
11/18/2021,0.8428
11/17/2021,0.8427
11/16/2021,0.8692
11/15/2021,0.8664
11/12/2021,0.8425
11/11/2021,0.8478
11/10/2021,0.8478
11/9/2021,0.7263
11/8/2021,0.7167
11/5/2021,0.6573
11/4/2021,0.6895
11/3/2021,0.754
11/2/2021,0.7162
11/1/2021,0.7618
10/29/2021,0.7536
10/28/2021,0.7613
10/27/2021,0.7719
10/26/2021,0.7557
10/25/2021,0.7449
10/22/2021,0.7688
10/21/2021,0.7951
10/20/2021,0.7151
10/19/2021,0.7151
10/18/2021,0.7362
10/15/2021,0.6937
10/14/2021,0.6355
10/13/2021,0.6487
10/12/2021,0.6018
10/11/2021,0.58
10/8/2021,0.58
10/7/2021,0.5603
10/6/2021,0.5333
10/5/2021,0.517
10/4/2021,0.4981
10/1/2021,0.4846
9/30/2021,0.5083
