Date,PX_LAST
7/20/2022,2.8651
7/19/2022,2.8522
7/18/2022,2.8053
7/15/2022,2.748
7/14/2022,2.7856
7/13/2022,2.7508
7/12/2022,2.7463
7/11/2022,2.7925
7/8/2022,2.8785
7/7/2022,2.7843
7/6/2022,2.7315
7/5/2022,2.5676
7/4/2022,2.627
7/1/2022,2.6297
6/30/2022,2.794
6/29/2022,2.9043
6/28/2022,2.9876
6/27/2022,3.0071
6/24/2022,2.9472
6/23/2022,2.8993
6/22/2022,2.9875
6/21/2022,3.1242
6/17/2022,3.104
6/16/2022,3.0395
6/15/2022,3.1266
6/14/2022,3.3543
6/13/2022,3.2533
6/10/2022,3.0202
6/9/2022,2.834
6/8/2022,2.7984
6/7/2022,2.7585
6/6/2022,2.8064
6/3/2022,2.7012
6/2/2022,2.674
6/1/2022,2.673
5/31/2022,2.5849
5/27/2022,2.4967
5/26/2022,2.4851
5/25/2022,2.4795
5/24/2022,2.4895
5/23/2022,2.6093
5/20/2022,2.5472
5/19/2022,2.597
5/18/2022,2.651
5/17/2022,2.7218
5/16/2022,2.5871
5/13/2022,2.6381
5/12/2022,2.6005
5/11/2022,2.6769
5/10/2022,2.695
5/9/2022,2.7259
5/6/2022,2.8745
5/5/2022,2.8075
5/4/2022,2.7295
5/3/2022,2.8248
5/2/2022,2.812
4/29/2022,2.765
4/28/2022,2.6552
4/27/2022,2.6283
4/26/2022,2.5214
4/25/2022,2.6359
4/22/2022,2.7069
4/21/2022,2.7497
4/20/2022,2.6383
4/19/2022,2.7017
4/18/2022,2.5633
4/15/2022,2.548
4/14/2022,2.545
4/13/2022,2.4326
4/12/2022,2.4678
4/11/2022,2.578
4/8/2022,2.5392
4/7/2022,2.4784
4/6/2022,2.4532
4/5/2022,2.464
4/4/2022,2.3208
4/1/2022,2.3395
3/31/2022,2.2463
3/30/2022,2.2302
3/29/2022,2.2948
3/28/2022,2.356
3/25/2022,2.338
3/24/2022,2.1957
3/23/2022,2.105
3/22/2022,2.1939
3/21/2022,2.1258
3/18/2022,1.9577
3/17/2022,1.954
3/16/2022,1.9965
3/15/2022,1.9108
3/14/2022,1.8988
3/11/2022,1.752
3/10/2022,1.7221
3/9/2022,1.6804
3/8/2022,1.572
3/7/2022,1.5065
3/4/2022,1.4545
3/3/2022,1.558
3/2/2022,1.5778
3/1/2022,1.4098
2/28/2022,1.5524
2/25/2022,1.702
2/24/2022,1.7005
2/23/2022,1.735
2/22/2022,1.6971
2/18/2022,1.6458
2/17/2022,1.6695
2/16/2022,1.7518
2/15/2022,1.7762
2/14/2022,1.7531
2/11/2022,1.6945
2/10/2022,1.7883
2/9/2022,1.6537
2/8/2022,1.6539
2/7/2022,1.6029
2/4/2022,1.6049
2/3/2022,1.5086
2/2/2022,1.443
2/1/2022,1.4524
1/31/2022,1.4475
1/28/2022,1.4514
1/27/2022,1.4892
1/26/2022,1.5166
1/25/2022,1.3925
1/24/2022,1.3831
1/21/2022,1.4025
1/20/2022,1.4319
1/19/2022,1.488
1/18/2022,1.5026
1/14/2022,1.4002
1/13/2022,1.3099
1/12/2022,1.35
1/11/2022,1.3397
1/10/2022,1.3703
1/7/2022,1.344
1/6/2022,1.3161
1/5/2022,1.2746
1/4/2022,1.1996
1/3/2022,1.2022
12/31/2021,1.1234
12/30/2021,1.1167
12/29/2021,1.1465
12/28/2021,1.103
12/27/2021,1.1045
12/24/2021,1.107
12/23/2021,1.1087
12/22/2021,1.0855
12/21/2021,1.0793
12/20/2021,1.0267
12/17/2021,1.0191
12/16/2021,1.009
12/15/2021,1.0925
12/14/2021,1.091
12/13/2021,1.0628
12/10/2021,1.1112
12/9/2021,1.1307
12/8/2021,1.135
12/7/2021,1.122
12/6/2021,1.071
12/3/2021,0.9943
12/2/2021,1.0595
12/1/2021,1.0008
11/30/2021,1.0295
11/29/2021,1.0182
11/26/2021,1.018
11/25/2021,1.194
11/24/2021,1.1948
11/23/2021,1.1862
11/22/2021,1.1735
11/19/2021,1.0817
11/18/2021,1.0745
11/17/2021,1.0922
11/16/2021,1.1244
11/15/2021,1.1058
11/12/2021,1.076
11/11/2021,1.013
11/10/2021,1.058
11/9/2021,0.9312
11/8/2021,0.966
11/5/2021,0.9078
11/4/2021,0.9688
11/3/2021,1.038
11/2/2021,0.9924
11/1/2021,1
10/29/2021,0.9965
10/28/2021,0.9895
10/27/2021,1.002
10/26/2021,1.0328
10/25/2021,1.0304
10/22/2021,1.0454
10/21/2021,1.083
10/20/2021,1.0086
10/19/2021,1.003
10/18/2021,1.0082
10/15/2021,0.9703
10/14/2021,0.904
10/13/2021,0.923
10/12/2021,0.9314
10/11/2021,0.899
10/8/2021,0.9248
10/7/2021,0.8845
10/6/2021,0.8405
10/5/2021,0.8299
10/4/2021,0.8036
10/1/2021,0.7958
9/30/2021,0.831
9/29/2021,0.848
9/28/2021,0.8802
9/27/2021,0.862
9/24/2021,0.8248
9/23/2021,0.8263
9/22/2021,0.734
9/21/2021,0.7108
9/20/2021,0.7083
9/17/2021,0.7467
9/16/2021,0.727
9/15/2021,0.6788
9/14/2021,0.668
9/13/2021,0.6825
9/10/2021,0.6925
9/9/2021,0.6635
9/8/2021,0.6829
9/7/2021,0.6938
9/6/2021,0.653
9/3/2021,0.6562
9/2/2021,0.6363
9/1/2021,0.6465
8/31/2021,0.6504
8/30/2021,0.641
8/27/2021,0.6702
8/26/2021,0.7138
8/25/2021,0.696
8/24/2021,0.667
8/23/2021,0.6373
8/20/2021,0.6489
8/19/2021,0.638
8/18/2021,0.64
8/17/2021,0.6385
8/16/2021,0.6305
8/13/2021,0.6447
8/12/2021,0.6966
8/11/2021,0.6795
8/10/2021,0.6993
8/9/2021,0.6687
8/6/2021,0.6455
8/5/2021,0.5998
8/4/2021,0.5538
8/3/2021,0.5222
8/2/2021,0.5332
7/30/2021,0.5688
7/29/2021,0.6102
7/28/2021,0.577
7/27/2021,0.5725
7/26/2021,0.5982
7/23/2021,0.5865
7/22/2021,0.5892
7/21/2021,0.6025
7/20/2021,0.5445
7/19/2021,0.5524
7/16/2021,0.638
7/15/2021,0.641
7/14/2021,0.6625
7/13/2021,0.7094
7/12/2021,0.6555
7/9/2021,0.6577
7/8/2021,0.608
7/7/2021,0.642
7/6/2021,0.6542
7/5/2021,0.7152
7/2/2021,0.7152
7/1/2021,0.753
6/30/2021,0.7465
6/29/2021,0.7435
6/28/2021,0.7456
6/25/2021,0.7619
6/24/2021,0.7535
6/23/2021,0.74
6/22/2021,0.707
6/21/2021,0.7238
6/18/2021,0.7128
6/17/2021,0.734
6/16/2021,0.7583
6/15/2021,0.6425
6/14/2021,0.6465
6/11/2021,0.61
6/10/2021,0.5785
6/9/2021,0.6145
6/8/2021,0.637
6/7/2021,0.656
6/4/2021,0.6465
6/3/2021,0.707
6/2/2021,0.6675
6/1/2021,0.684
5/31/2021,0.6777
5/28/2021,0.675
5/27/2021,0.6813
5/26/2021,0.655
5/25/2021,0.6424
5/24/2021,0.6757
5/21/2021,0.6962
5/20/2021,0.691
5/19/2021,0.7233
5/18/2021,0.689
5/17/2021,0.698
5/14/2021,0.6829
5/13/2021,0.6865
5/12/2021,0.7265
5/11/2021,0.6613
5/10/2021,0.647
5/7/2021,0.6473
5/6/2021,0.682
5/5/2021,0.6705
5/4/2021,0.6922
5/3/2021,0.6968
4/30/2021,0.7191
4/29/2021,0.729
4/28/2021,0.7145
4/27/2021,0.7326
4/26/2021,0.696
4/23/2021,0.6895
4/22/2021,0.663
4/21/2021,0.6609
4/20/2021,0.6575
4/19/2021,0.6834
4/16/2021,0.6853
4/15/2021,0.6795
4/14/2021,0.7137
4/13/2021,0.6995
4/12/2021,0.751
4/9/2021,0.7415
4/8/2021,0.7165
4/7/2021,0.757
4/6/2021,0.759
4/5/2021,0.8135
4/2/2021,0.8541
4/1/2021,0.784
3/31/2021,0.8191
3/30/2021,0.7778
3/29/2021,0.766
3/26/2021,0.7387
3/25/2021,0.7123
3/24/2021,0.6978
3/23/2021,0.6979
3/22/2021,0.7425
3/19/2021,0.7623
3/18/2021,0.7262
3/17/2021,0.6785
3/16/2021,0.6995
3/15/2021,0.6996
3/12/2021,0.7169
3/11/2021,0.6717
3/10/2021,0.66
3/9/2021,0.6725
